word,sentiment
бездумний,-0.8839
бездумно,-0.5
безжалісний,-0.5
безжальний,-1.0
безжально,-1.0
безжурний,1.0
беззавітний,0.5
беззаконний,-1.0
беззаконня,-1.0
беззахисний,-0.3511
беззмістовний,-0.5
беззубий,-0.7377
безідейний,-0.5
безініціативний,-0.5
безкарність,-1.0
безкарний,-0.9
безкомпромісний,-0.1223
безконтрольний,-1.0
безкорисливий,1.0
безлад,-0.8445
безладний,-0.5
безмежний,-0.7091
безнадійний,-1.0
безнадія,-0.5
безодня,-0.5
безпека,0.5
безперебійний,0.4716
безперервний,-0.5
безперечний,0.375
безперспективний,-0.9107
безпечний,0.5
безпечно,1.0
безпідставний,-0.425
безповоротний,-0.2714
безпокійний,-0.5
безпомічний,-1.0
безпорадний,-1.0
безправний,-1.0
безпритульний,-1.0
безпрограшний,0.9
безпросвітний,-1.0
безпутний,-0.5
безрадісний,-0.5
безрезультатний,-0.9107
безробіття,-0.9146
безрозсудний,-1.0
безсердечний,-1.0
безславний,-0.7821
безсмачний,-0.5
безсмертний,0.5
безсовісний,-1.0
безсоромний,-1.0
безстрашний,0.9194
безсумнівний,0.5
безтактовний,-0.5
безталанний,-0.5
безтолковий,-1.0
безтурботний,0.2135
безумний,-1.0
безумовний,0.5
безумство,-0.9
безуспішний,-0.5
безхмарний,0.5565
безхребетний,-0.5
безцеремонний,-1.0
безцільний,-0.5
безцінний,0.9677
безчесний,-1.0
безчуттєвий,-0.5
бентежити,-0.2965
біда,-0.5
бідність,-0.5
бідний,-1.0
бідно,-0.5
бідолашний,-1.0
біженець,-0.5
бійка,-1.0
бійня,-1.0
білосніжний,0.6527
біс,-1.0
бісексуал,-0.5
бидло,-1.0
битва,-0.8390000000000001
бити,-0.4679
битися,-1.0
благий,1.0
благовихований,0.5
благоговійний,0.5
благодать,1.0
благодійність,1.0
благодійний,1.0
благодійник,1.0
благозвучний,0.5
благополучний,1.0
благополучно,0.5
благополуччя,1.0
благородний,0.5
благородство,1.0
благорозумний,0.5
благословенний,0.5
благословити,1.0
благословляти,0.5
благосний,0.5
благотворний,0.5
благоустрій,1.0
благочестивий,0.5
блаженний,1.0
блаженство,1.0
блакитний,0.4847
блакить,0.1117
блатний,-0.9444
бліднути,-0.7689
ближній,0.0357
близький,0.9231
блиск,0.9444
блискучий,0.7564
блищати,0.9
блокада,-0.9
блокадний,-0.568
блокуватися,-0.3929
блукати,-0.3678
блювати,-1.0
блювотиння,-1.0
блюзнірство,-1.0
блядство,-1.0
бляклий,-0.5
богатирський,1.0
богиня,0.9
богобоязливий,0.0379
боговгодно,0.5
богомерзенний,-1.0
богословський,0.5
божевілля,-0.9375
божественний,1.0
божество,0.54
божеський,0.9
болісний,-1.0
болісно,-0.5
боліти,-1.0
болючий,-1.0
бомба,-0.9
бомбардувальник,-0.657
бомбардування,-0.5
бомбити,-0.9
бомбування,-1.0
борг,-0.3594
борговий,-0.5
борець,0.25
боягуз,-0.8491
боягузливість,-1.0
боягузливий,-1.0
боягузтво,-0.9444
боязкуватий,-0.5
боязнь,-0.9
боятися,-0.375
брак,-1.0
браконьєр,-1.0
бракувати,-0.5
бранка,-1.0
братовбивчий,-0.5
братський,0.5
браття,0.5
брехати,-1.0
брехливий,-1.0
брехня,-1.0
бродяга,-0.5732
броньований,0.5
бруд,-1.0
брудний,-1.0
бруднити,-1.0
брутальний,-1.0
брязкати,-1.0
бувалий,0.5
буйний,-0.9304
букет,0.9
булька,-1.0
бунт,-1.0
бунтівник,-0.9063
бунтувати,-0.9688
буржуазія,-0.5
буржуй,-0.5
буркотливий,-0.9074
бухати,-1.0
бюрократ,-0.6743
бюрократія,-0.5
бюрократизм,-1.0
в'язаний,0.0
в'язень,-0.9
в'язниця,-1.0
в'ялий,-1.0
важкий,-0.6944
важковиліковний,-1.0
важкувато,-0.5085
валити,-1.0
валитися,-1.0
вандал,-1.0
вандалізм,-1.0
варварський,-0.5
ваххабіт,-0.5
вбивати,-1.0
вбивство,-0.5
вбивця,-1.0
вбивчий,-0.5
вбитий,-1.0
вбогий,-1.0
вважати,0.0
ввічливість,0.5
ввічливий,1.0
вгадувати,0.4618
вгамовуватися,-1.0
вдалий,1.0
вдало,0.5
вдаритися,-0.8839
вдержатися,-1.0
вдосконалення,0.5
вдосконалюватися,0.5
вдячність,1.0
вдячний,1.0
везучий,1.0
велелюбний,0.5
великомасштабний,1.0
великорос,-0.5
великоруський,0.5
великосвітський,-0.5
величезний,0.0
величний,0.5
вельмишановний,1.0
венеричний,-0.8438
верескливий,-1.0
верещати,-0.7035
верзтися,-1.0
верховний,0.5
веселий,1.0
веселитися,1.0
ветхий,-0.5464
вечір,0.0
вечірка,0.5
взаємний,0.6795
взаємовигідний,1.0
взаємоприйнятний,0.5
відбування,-0.5593
відбувати,-0.5
відбудовувати,0.5893
відвага,1.0
відважний,1.0
відганяти,-0.4511
відгороджувати,-1.0
відданість,0.5
відділок,-1.0
відкат,-1.0
відкидати,0.0
відкритість,0.1244
відкушувати,0.2027
відмінний,1.0
відмінниця,1.0
відмивання,-0.5
відмовитися,-0.6652
відмовляти,-0.6797
відмовлятися,-0.5682
відмовний,-0.5
відморозок,-1.0
відновлення,0.9828
відновлювальний,0.5
відновлювати,1.0
відображати,0.5
відраза,-0.5
відреставрований,0.5
відрізати,-0.5
відринутий,-0.5
відродження,0.9
відроджувати,0.6176
відроджуватися,0.8363
відродити,1.0
відрубувати,-0.9
відсахнутися,-1.0
відсвяткувати,1.0
відсіч,0.2769
відсидка,-1.0
відставати,-0.6724
відсторонення,-0.5
відстороняти,-0.5
відторгнення,-0.9167
відтяти,-1.0
відхилення,-0.5
відхиляти,-0.6609999999999999
відхожий,-0.5
відчай,-1.0
відштовхнути,-0.7066
відщепенець,-1.0
війна,-1.0
вільнодумний,0.5
вірність,1.0
віроломний,-1.0
вірусний,-1.0
вітальний,0.5
вітати,0.9107
вітатися,0.5
вічний,0.5
віщий,0.5
вибачення,0.9052
вибух,-1.0
вибухати,-0.7143
вибухівка,-0.7442
виверт,-0.4538
вивчення,0.9324
вигадливий,0.5
вигадувати,0.3419
вигідніший,0.5
вигідний,1.0
вигідно,0.5
вигнавши,-1.0
вигнанець,-1.0
вигнання,-1.0
вигнати,-1.0
вигода,0.9444
виграш,1.0
вигрібати,0.0
видавлювати,-0.16
видалений,-1.0
видаляти,-0.5
видворяти,-0.5
видовищний,0.9643
вижити,-1.0
визвольний,0.5
визначний,0.5
виїдати,-0.5825
викидати,-0.4027
викинути,-0.2909
викорінення,0.5
викорінити,-1.0
використати,0.5
викрадати,-1.0
викрадач,-1.0
викрадення,-0.5
викривач,-0.5
викрити,-0.2941
викурювати,-0.7742
вилучення,-0.7903
виляти,-0.1279
вимагати,-0.2581
вимивати,-1.0
вимирання,-1.0
вимирати,-0.9474
винагородити,1.0
винищувати,-1.0
винність,-0.5
винний,-1.0
винуватий,-1.0
випалювати,-0.2643
випереджати,0.5
виправдання,0.0982
виправдатися,0.5
виправдувальний,0.5
виразка,-1.0
виразковий,-0.5
виразний,0.7185
вирізати,-1.0
вирізняти,0.5
вириватися,-0.1026
вироджуватися,-0.5
виродок,-1.0
вирок,-0.7075
виростити,0.5
виручати,1.0
висадка,0.22
виселення,-1.0
висміювати,-1.0
виснаження,-1.0
виснажливий,-0.9
високий,0.0833
високоефективний,0.5
висококваліфікований,1.0
висококласний,1.0
високоміцний,0.5
високоморальний,0.5
високооплачуваний,0.9
високоосвічений,0.5
високоповажний,0.5
високопродуктивний,1.0
високопрофесійний,0.5
високотехнологічний,0.5
високоточний,0.5
високохудожній,0.5
високоякісний,1.0
вистежувати,-0.5083
вистражданий,0.5
вистрілювати,-0.5
витік,-0.9643
витісняти,-0.65
витонченість,1.0
витончений,1.0
витончено,0.5
витрата,-0.6351
витратити,-0.375
витратний,-1.0
витривалий,1.0
витягнути,0.0
вихваляти,0.2321
вихлюпуватися,-1.0
вишуканий,0.5
вкинути,-1.0
вкрасти,-1.0
вкусити,-0.75
властивий,0.5
вмирати,-0.5
вовтузіння,-1.0
вогневий,-0.5
вогник,0.6048
воістину,0.6364
волати,-1.0
воловий,-1.0
волонтер,0.9444
вольовий,0.5
ворог,-1.0
ворожий,-0.5
ворушитися,0.1667
воскресіння,0.9
впарювати,-0.5
впевненість,0.5
впевнений,0.5
впевнено,0.5
впертий,-0.6429
впливовий,0.5
впровадження,0.5
вражати,0.3443
вражаючий,0.5
врегулювання,0.5
врівноваженість,0.9
вриватися,-1.0
врода,0.5
вродливий,0.5
всебічний,0.6466
всеблагий,0.5
вселенський,0.5
всемогутній,0.5
всеосяжний,0.5
всеохоплюючий,0.5
всепереможний,0.5
всеросійський,0.0
всміхатися,0.5
втеча,-0.5
втікати,-1.0
втілити,0.636
втілитися,-0.2271
втілювати,0.7437
втішати,1.0
втома,-0.6724
втомлюватися,-0.9231
вторгатися,-1.0
вторгнення,-0.5
вторгнутися,-1.0
втрата,-1.0
втратити,-1.0
втрачений,0.5
втричі,-0.5
втручання,-0.5
втручатися,-0.5
втягнути,-1.0
втягувати,-1.0
вузьколобий,-0.9091
вціліти,0.9
вчинений,-1.0
вчинити,-1.0
гайдамацтво,-1.0
галасливий,-0.5579
гальмо,-0.5081
гальмувати,-0.3839
ганебний,-1.0
ганьба,-1.0
ганьбити,-1.0
гарантійний,0.5156
гарантований,0.5
гарантувати,0.8077
гармонійний,1.0
гармонійно,0.5
гармонія,1.0
гарненький,-0.6009
гарненько,0.5
гарний,1.0
гаснути,-1.0
гвалтувати,-1.0
генералісимус,0.5
геніальний,1.0
геній,0.9079
героїн,-1.0
героїчний,1.0
героїчно,0.5
герой,1.0
геройство,1.0
гівняний,-1.0
гідність,0.5
гідний,1.0
гільза,-0.5
гіпертонічний,-1.0
гіпертонія,-1.0
гіпертрофований,-0.5
гіпноз,-1.0
гітлерівець,-1.0
гітлерівський,-0.5
гидота,-0.5
гидувати,-1.0
гинути,-0.5
гламурний,-0.5
глибокодумний,0.9643
гнаний,-0.5
гнів,-0.5
гнівний,-0.5
гнітити,-1.0
гнітючий,-0.5
гнида,-1.0
гнилий,-1.0
гнисти,-1.0
гнобитель,-1.0
гнобити,-0.5
гнути,-0.1
голод,-1.0
голодний,-1.0
голодомор,-0.5
голослівний,-0.5
голубий,0.5
гомеричний,-0.5
гомофоб,-0.5
гоніння,-0.5
гопник,-0.5
гордість,0.6481
гордовитий,-0.5
горілий,-0.9
горіти,-0.3571
горлати,-1.0
гостинність,1.0
гостинний,0.1
грабіжник,-1.0
грабіжницький,-1.0
грабки,-1.0
грабувати,-1.0
грамотний,0.5
грамотно,0.5
гранатомет,-0.6048
граціозний,0.5
гріх,-1.0
гріховний,-0.5
грішний,-1.0
грибковий,-0.5
гримати,-0.5893
грозитися,-1.0
громада,0.5
громіздкий,-0.3016
грубуватий,-0.9194
грунтовний,0.7195
групка,0.3242
губитися,-1.0
гудіти,-0.0625
гуманістичний,0.5
гуманний,1.0
гумор,0.5
гумористичний,0.5
ґвалтівник,-1.0
ґвалтування,-1.0
ґвалтувати,-1.0
ґрунтовний,0.5
давити,-1.0
давньоруський,0.5
даремний,-1.0
даремно,-0.7703
дарувати,0.9643
дбайливий,0.5
двієчник,-1.0
двосторонній,0.0
двоякий,-0.0217
дебіл,-1.0
деблокування,0.5
дев'яностий,-0.5
девіантний,-0.5
дегенерат,-1.0
дегенеративний,-0.5
деградація,-1.0
деградувати,-1.0
дезертирувати,-1.0
дезінформація,-0.9
дезінформувати,-1.0
декласований,-0.5
демократичний,0.6869
демон,-1.0
демонічний,-1.0
демпінгувати,-1.0
депортація,-0.5
депресія,-0.5
депресивний,-0.5
деспот,-1.0
деспотичний,-1.0
дестабілізація,-0.5
деструктивний,-0.5
дефект,-1.0
дефіцит,-0.5
дефіцитний,-0.5
джинса,-0.5
діапазон,0.5
дівка,-0.96
дідівщина,-0.5
дієвість,0.6087
діоксин,-1.0
дірка,-0.1535
дірявий,-0.7119
дітлахи,0.9828
діяч,-0.5
диверсант,-0.5
диверсійний,-0.7423
диверсія,-0.5
дивина,-0.3455
дивний,-0.1944
дивовижний,1.0
дизайнерський,0.5
дикість,-0.5
дикий,-0.5976
дилетантський,-0.5
диплом,0.6905
дипломатія,0.5
дисгармонійний,-0.5
дискомфортний,-0.5
дискредитація,-0.5
дискредитувати,-0.5
дискримінаційний,-0.5
дискримінація,-0.5
дисфункція,-1.0
дитинство,0.5683
дитя,0.5361
диявол,-0.5
диявольський,-1.0
добірний,0.9643
добити,-1.0
доблесний,0.5
доблесть,0.5
добріти,1.0
добрий,1.0
добро,0.5
добробут,0.9
добровільно,0.5
доброволець,1.0
добровольчий,0.9107
добродійний,0.5
доброзичливість,1.0
доброзичливий,1.0
добропорядний,1.0
доброта,1.0
добротний,1.0
доброчесний,0.5
доброякісний,1.0
довговічний,0.5
довголіття,1.0
довгоочікуваний,1.0
довір'я,0.5
довіра,0.5
довірчий,1.0
довіряти,0.5
довічний,0.0
доглянутий,0.5
дожити,0.5487
докір,-0.9
доконати,-1.0
докочуватися,-0.5
докучати,-0.5
докучливий,-1.0
домагання,-1.0
допитливий,0.2456
допитувати,-0.5
допитуючи,-1.0
доплата,0.4863
допомога,0.5
доречний,0.7957
дорікати,-1.0
дорогий,0.7449
дорогоцінний,0.5
дорожнеча,-0.5
досвідчений,1.0
досконалість,0.5
досконалий,0.5
дослідження,0.5976
достаток,1.0
достовірно,0.5
достойний,0.5
досягнення,0.5
досягти,0.9
дохлий,-1.0
дохнути,-1.0
доходність,0.5
доцільний,1.0
дошкуляти,-1.0
дражнити,-1.0
драконівський,-0.6154
драматичний,-0.3347
дратівливий,-1.0
дратувати,-1.0
дратуватися,-1.0
дріб'язковий,-0.0198
другосортний,-0.5
дружити,0.5
дружній,1.0
дружний,1.0
дужий,0.5
дупа,-0.9118
дурацький,-0.5
дурень,-1.0
дурість,-1.0
дурити,-1.0
дурний,-1.0
дурник,-0.7059
дурниця,-0.6951
дурнуватий,-0.7035
духовність,0.5
душити,-1.0
дякувати,1.0
євроатлантичний,0.5
єдність,0.9828
єресь,-0.5
єхидний,-1.0
егоїзм,-1.0
егоїстичний,-1.0
егоцентричний,-0.5
ейфорія,1.0
еквівалентний,0.5
екологічний,0.5
економити,-0.5
ексклюзивний,0.5
експансія,-0.2567
експлуатувати,-0.5
експресивний,0.5
експропріація,-0.5
екстравагантний,-0.5
екстремальний,0.5
екстремізм,-0.5
екстремістський,-0.5
елегантний,1.0
елітний,0.5
ембарго,-0.5
емфізема,-1.0
енергійний,1.0
енергонезалежний,0.5
ентузіаст,0.5
епілептичний,-1.0
епічний,0.5
епохальний,0.5
еротичний,-0.5
естетичний,0.5
етичний,0.5
ефект,0.5
ефективність,1.0
ефективний,0.5
ефективно,0.5
ефемерний,-0.5
жаданий,0.5
жадібність,-1.0
жадібний,-1.0
жалісливий,0.9211
жалити,-1.0
жалувати,0.6890000000000001
жалюгідний,-0.9375
жартівливий,0.8514
жахати,-0.5
жахатися,-1.0
жахливий,-1.0
жахливо,-0.5
жебрак,-1.0
жертва,-1.0
жертвувати,-0.5
жерти,-1.0
жіночний,0.6885
живий,0.5
живоносний,0.5
животрепетне,0.5
живучий,0.9057
жид,-0.5
жидівський,-0.5
жирувати,-1.0
життєздатний,0.5
життєрадісний,0.5
життєстверджуючий,0.5
жовчний,-0.5
жопа,-1.0
жорстокість,-1.0
жорстокий,-1.0
жриця,0.5
жура,-0.5
з'єднання,-0.5
заарештований,-0.5
забезпечення,0.5
забетонувати,-0.1
забивати,-0.0769
заблудлий,-0.5
заблукати,-0.5
заборгованість,-0.9
заборонний,-0.5
забороняти,-0.9706
заборонятися,-0.5
забруднення,-1.0
завагітніти,0.6176
завербовувати,-0.5
завербувати,-1.0
завершити,0.4403
завестися,-0.2372
завзятість,0.8009999999999999
завзятий,1.0
завивання,-0.7
завивати,-0.5477
завидний,0.2689
завинити,-0.9828
завчасний,1.0
загальнолюдський,0.4699
загальносвітовий,0.5
заганяти,-0.3733
загарбник,-1.0
загартовувати,0.7119
загасити,0.2353
загибель,-0.5
загинути,-1.0
заговорювати,-0.5769
загострення,-0.66
загострюватися,0.0423
загрожувати,-1.0
загроза,-1.0
загрузнути,-0.75
загубити,-1.0
задавлювати,-0.5
задавнений,-1.0
задіяний,-1.0
задовільний,0.7768
задоволення,1.0
задушевний,0.5
задушений,-1.0
задушити,-1.0
зажерливий,-1.0
зажертися,-1.0
заздрісний,-1.0
заздрість,-1.0
зазіхати,-1.0
заїдати,-1.0
зайвий,-0.5565
зайобувати,-1.0
закінчити,0.1
закликати,0.1792
заклопотаність,-0.4883
заколотник,-1.0
закомплексований,-0.5
закопувати,-1.0
закохуватися,0.5
закурювати,-0.9623
закусити,0.33899999999999997
залучати,0.7781
залякування,-1.0
заманливий,0.5
замаскований,-1.0
замах,-0.2407
замикати,-0.4141
замкнутий,-0.5
замовкнути,-0.1366
замовчувати,-0.7832
заморочуватися,-0.5
заморський,0.5
замучений,-1.0
занапастити,-1.0
занепад,-0.5
занепадницький,-0.5
занепокоєння,-0.5
занепокоїтися,-0.4774
занудити,-1.0
занудний,-0.9107
занудьгувати,-0.8846
заохочувальний,1.0
запалення,-1.0
запаморочливий,0.5
запеклий,-0.5
заперечувати,-0.7185
запідозрити,-0.4444
запідозрювати,-0.5
запізнення,-1.0
заплутувати,-0.5
запобігати,0.8514
заповітний,0.9615
заподіювати,-1.0
заподіяний,-1.0
запороти,-1.0
запроторити,-1.0
запроторювати,-1.0
заражати,-1.0
заражатися,-0.5
зараження,-0.5
зараза,-1.0
зарватися,-1.0
зарепетувати,-1.0
зарізати,-1.0
заробітчанин,-0.5
заручник,-1.0
зарядитися,1.0
засвічуватись,-0.5
засідка,-0.6429
заслуга,1.0
заслужений,1.0
заслужено,0.5
заслужити,0.8590000000000001
засмучувати,-1.0
засмучуватися,-0.9179
заспокійливий,0.6692
заспокоювати,0.9
заспокоюватися,0.9138
застарівати,-0.5077
застарілий,-0.4692
застійний,-0.5
застогнати,-0.2602
застрелюватися,-0.5
застрягати,-1.0
засуджений,-1.0
засуджувати,-1.0
засуджуючи,-1.0
засудити,-0.9
затаєний,-1.0
затишний,1.0
затоплення,-1.0
затоплювати,-0.6239
затримати,-0.3952
затримувати,-0.4851
затягуватися,-0.3285
зауваження,-0.7240000000000001
захват,1.0
захворювання,-1.0
захист,0.9231
захланний,-1.0
заховати,-0.4664
захоплений,1.0
захоплення,0.9079
захоплювати,0.5504
захоплюватися,0.7377
захоплюючий,1.0
зацікавлювати,0.5
зациклюватися,-0.5
зачаровувати,0.5
зачарування,0.5
зашити,0.3678
зашкалювати,-0.5
зашкарублий,-0.5
зашкутильгати,-1.0
зашморг,-1.0
збалансований,0.5
збанкрутувати,-1.0
зберігати,0.6328
збільшувати,0.5
збитковий,-0.5
збиток,-1.0
зближення,0.6462
збоченець,-1.0
збочення,-0.5
збочувати,-0.5
збрехати,-1.0
зброя,-0.5
збудник,0.0165
збунтуватися,-1.0
збурити,-1.0
збутися,0.6496
зважений,0.5
звалювати,-0.7119
звалюватися,-0.6226
звання,0.5
звершений,0.5
звільнення,0.9
звільняти,0.5
звільнятися,-0.5806
звіріти,-0.5
звірство,-1.0
звітувати,-0.5
звинуватити,-1.0
звинувачення,-0.5
звинувачувати,-1.0
зводити,0.9
зволікати,-0.5
зворушливий,1.0
згвалтування,-1.0
згвалтувати,-1.0
згинути,-1.0
згорьований,-1.0
зграя,0.1
згубний,-0.5
згуртований,0.5
зґвалтований,-1.0
зґвалтувати,-1.0
здавлюючи,-1.0
здерти,-1.0
здібний,0.5
здирство,-0.5
здобути,0.7432
здогад,-1.0
здолати,1.0
здорожчати,-0.5
здохнути,-1.0
здравий,0.5
здраво,0.5
здравомислячий,0.5
зек,-1.0
зібраний,0.5
зізнаватися,0.6048
зіпсувати,-1.0
зіпсуватися,-1.0
зірка,0.5
зіткнення,0.5079
злагода,0.5
злагоджений,0.5
зламати,-1.0
зламатися,-1.0
зламувати,-0.5
зле,-0.5
злісний,-1.0
злість,-1.0
зливати,0.0
злидні,-0.9
злий,-1.0
злити,-0.1
злитися,-0.2087
злиття,0.2759
зло,-1.0
зловживання,-1.0
зловмисний,-0.5
зловмисник,-1.0
злодійський,-1.0
злодіяння,-1.0
злом,-1.0
зломлений,-1.0
злопам'ятний,-1.0
злорадний,-1.0
злочин,-1.0
злочинний,-1.0
злочинниця,-1.0
злощасний,-0.5
злоякісний,-1.0
злякати,-1.0
злякатися,-1.0
змагати,-1.0
зменшуватися,-0.0806
змести,-1.0
змітати,-0.1982
зміцнення,0.7895
зміцнити,1.0
змова,-1.0
змовник,-0.5
змучений,-0.5
змушувати,-0.9138
знак,0.0
знаменний,0.7709999999999999
значний,0.6892
зневажати,-1.0
зневажливий,-1.0
знеможений,-1.0
знехотя,-0.5
знешкоджувати,0.5
зніяковілість,-0.5
знижуватися,-0.33899999999999997
зникнути,-0.0745
знищений,-1.0
знищення,-0.5
знищити,-1.0
знищувати,-0.5
знищуватися,-0.5
знос,-0.5
знущальний,-1.0
знущання,-1.0
знущатися,-1.0
зобов'язувати,-0.4913
золотий,0.6039
зомбі,-1.0
зомбувати,-1.0
зрада,-1.0
зраджувати,-0.5
зрадник,-1.0
зрадництво,-1.0
зрадницький,-1.0
зрадниця,-1.0
зривати,-0.5156
зручність,1.0
зручний,1.0
зручно,0.5
зсув,-0.5
зубожілий,-0.5
зупинка,0.1
зустрінути,0.5
зухвалий,0.5
зухвальство,-1.0
зціпити,-0.387
зчинити,-0.5
зчиняти,-1.0
ідеал,0.5
ідеалізм,0.5
ідеалізувати,0.3983
ідеальний,1.0
ідейний,0.5
ідіот,-1.0
ідіотизм,-1.0
ідіотський,-1.0
ізгой,-1.0
ілюзія,-0.2105
іменинниця,0.5
імператорський,0.5
імпонувати,0.5
імунітет,0.9
інвалід,-0.5
інвалідність,-0.5
індиферентний,-0.5
індульгенція,0.5
інклюзивний,0.5
інкримінований,-1.0
інноваційний,0.5
інородець,-0.5
інсинуація,-1.0
інсульт,-0.5
інтеграція,0.5
інтегрований,0.5
інтелектуал,0.5
інтелектуальний,1.0
інтелігентний,1.0
інтелігенція,0.5
інтенсивний,0.5
інтенсифікація,0.5
інтервенція,-0.5
інтриганство,-1.0
інтуїція,0.636
інфантильний,-0.9
інфаркт,-0.5
інфекція,-1.0
інфернальний,-0.5
інформувати,0.0
інцест,-0.5
інцидент,-0.5
іракський,-0.5
іржавий,-0.6951
ісламіст,0.0
ісламістський,-0.5
істеричний,-1.0
істинний,0.5
істинно,0.5
їдкий,-0.5
казковий,0.9808
казнокрад,-0.5
каліцтво,-1.0
калічити,-1.0
камерний,0.5
капати,0.0
капіталіст,-0.5
карати,-1.0
каратися,-1.0
караючи,-1.0
карколомний,1.0
картати,-1.0
карцер,-1.0
кат,-1.0
катаклізм,-0.5
катастрофа,-1.0
катастрофічний,-1.0
катастрофічно,-1.0
категоричний,-0.5
катівня,-1.0
каторга,-1.0
каторжна,-1.0
катувати,-1.0
кацап,-1.0
каюта,0.0
каятися,1.0
кваліфікований,0.5
квіти,0.5
кволий,-1.0
кепкувати,-1.0
кепський,-1.0
кілер,-1.0
кінчений,-1.0
кістлявий,-0.7441
кидатися,-1.0
кинутий,-1.0
кислий,-0.4421
класний,0.5
клофелін,-1.0
кмітливий,1.0
коїти,-1.0
колапс,-1.0
коливатися,-0.3182
колись,-0.3293
комбінаційний,0.5
комбінований,0.5
комедія,0.5
компанійський,0.5
компетентний,0.5
комплексний,0.5
комплімент,0.5
компроміс,0.5
комунікабельність,0.5
комфортабельний,0.5
комфортний,0.5
комфортно,0.5
конвульсія,-1.0
конкурентний,0.5
конкурентоспроможний,0.5
конкурс,0.5153
конструкція,0.5
контрабанда,-1.0
контртерористичний,0.5
конфіскація,-0.5
конфіскувати,-0.5
конфлікт,-1.0
конфліктний,-1.0
конфліктувати,-1.0
концентраційний,-1.0
концтабір,-0.5
коняка,0.5
копати,0.0
копійчаний,-0.3016
копіткий,0.5
коріння,0.5
корисливий,-1.0
корисний,1.0
короста,-0.9
коротенький,-0.0209
корумпувати,-0.5
корупційний,-1.0
корупціонер,-0.5
корупція,-0.5
корчитися,-0.9167
корявий,-0.9
кошмар,-1.0
кошмарний,-1.0
кошти,0.5
коштовний,-0.5
крадіжка,-1.0
краєвид,0.5
крапелька,0.3136
крапельниця,0.0404
красень,1.0
красивий,1.0
красний,0.5
красномовний,1.0
красти,-0.4831
крах,-1.0
кращати,0.5
кращий,1.0
кредит,-0.4779
кривавий,-1.0
кривдити,-1.0
кривдник,-1.0
криза,-0.5
кризовий,-0.5
крик,-0.55
крикливий,-0.5
кримінал,-0.5
криміналістичний,-0.5
кримінальний,-1.0
криміногенний,-0.5
критика,-0.2249
критиканство,-1.0
критикувати,-1.0
критися,-1.0
критичний,-1.0
крихітка,0.5
крихітний,-0.5
крихкий,-0.5
кричати,-1.0
кричущий,-0.5
кришталевий,0.5
кровожерливий,-1.0
кровопролитний,-0.5
кровопролиття,-1.0
кровотеча,-0.5
кропіткий,0.5
крутий,0.9545
крутитися,0.0
ксенофобія,-0.5
ксенофобський,-1.0
кубло,-1.0
кульгати,-1.0
куля,0.0172
купка,0.0
курортний,0.5382
куртуазний,-0.5
кухарка,0.1116
кухонний,-1.0
лайка,0.4712
лайливий,-0.5
лакей,-1.0
ламати,-1.0
